Hastane,Toplantı No,Toplantı Tarihi,Alınan Kararlar,İlgii Kategori,Sorumlu,Mevcut Durum,Termin,Tamamlanma Tarihi,Sonuç / Açıklama / Değerlendirme,Öncelik Seviyesi
Liv Ankara,2026-01,1/27/26,ISG eğitimlerinde Ocak 2026 1. Genel ISG:45 çalışan 2. Sağlık Konuları:54 çalışan 3. Teknik Konular:45 çalışan 4. Yangın Güvenliği:45 çalışan 5. HAP: 45 çalışan 6. ISG İşe Başlama Eğitimi: 15 çalışan 7. ISG Oryantasyon:15 çalışan eğitim almıştır.,Diğer,Tüm Birimler,Tamamlandı,1/27/26,1/31/26,,Kritik
Liv Ankara,2026-01,1/27/26,Hepatit aşıları Bakanlık tarafından gönderilmiştir. Aşılama yapılması gereken çalışanların dozları vurulmaya devam etmektedir.,Diğer,Tüm Birimler,Tamamlandı,1/27/26,1/31/26,,Orta
Liv Ankara,2026-01,1/27/26,TİP 2 DM tanısı almış personellerimize ve gebe takibi devam eden personellerimize ara öğün verilmeye devam edilecektir.,Diğer,Tüm Birimler,Devam Ediyor,12/31/26,,,Düşük
Liv Ankara,2026-01,1/27/26,Teknik Hizmetler tarafından Ocak ayında yapılan bakımlar: 1. Asansörler 2. Trafo 3.Jeneratör 4. Chiller 5. Kompresör 6. Su arıtma sistemi 7. Kapalı Devre Su Sistemi 8. Kompanizasyon panoları 9. Yangın söndürme tüpleri,Altyapı,Tüm Birimler,Tamamlandı,1/27/26,1/31/26,,Kritik
Liv Ankara,2026-01,1/27/26,"2026 yılı Ocak aylarında 13 çalışan iş kazası geçirmiştir. SGK bildirimleri yapılmıştır. Kayıp gün bulunmamaktadır. 1.Kesici Delici Alet Yaralanması:6 Çalışan 2. Sıkışma:2 Çalışan 3. Düşme:2 Çalışan 4. Cisim Düşmesi: 1 Çalışan 5. Cisim Çarpaması:2 Çalışan İş kazaları için olay bildirim açılarak KNA çalışması yapılmıştır. 58 adet ramak kala olay bildirim yapılmıştır. Olmaması gereken yerlerde iğne atıkları, Kapı, ayna ve WC cam kırıkları sonucu kesik oluşma riski, şeklinde bildirimler alınmıştır.",Diğer,Tüm Birimler,Tamamlandı,1/27/26,1/31/26,,Kritik
Liv Ankara,2026-01,1/27/26,"Anjio çalışanlarımızdan Hülya Kavalalı'nın 01.09.2025-20.11.2025 tarihleri arasında kullandığı dozimetrenin sonucu 64,13 mSv, 01.11.2025-23.01.2026 tarihleri arasında kullandığı dozimetrenin sonucu 8,76 mSv çıkmıştır. Çalışan Aralık ayında geçirdiği ameliyat dolayısıyla 1 ay süreyle istirahat raporu almıştır. Alanda yapılan incelemeler sonucunda çalışanın kurşun önlüğünün bedenine büyük geldiği ve koltuk altından dozimetreye radyasyonun bulaştığı görülmüştür. Ocak- Ağustos toplam dozu 1,12 mSv olduğu için çalışanın fiili hizmete geçirilmesine karar verilmiştir.",Güvenlik,Tüm Birimler,Tamamlandı,3/1/26,3/1/26,,Orta
Liv Ankara,2026-01,1/27/26,2025 yılı yılık değerlendirme raporu hazırlanmıştır. 2026 yılı için ISG eğitim planı ve Çalışma planı hazırlanmıştır.,Diğer,Tüm Birimler,Tamamlandı,1/27/26,1/31/26,,Orta
Liv Ankara,2026-01,1/27/26,"2025 yılında 729 periyodik muayene, 216 işe giriş muayenesi yaptırılmıştır. Hekimlerden Saruhan Çekirge, Ahmet Göksel Varol ve Aytun Canga, ameliyathane hemşiresi Gülbahar Yeni periyodik muayene yaptırmak istememiştir. Kendilerine mail yoluyla yaptırması bildirilmiştir.",Güvenlik,Tüm Birimler,Tamamlandı,1/27/26,1/31/26,,Yüksek Riskli
Liv Ankara,2026-01,1/27/26,"2025 yılında 69 iş kazası yaşamış çalışanımız bulunmakta. SGK bildirimleri yapılmış. Tetkik, tedavi süreçleri takip edilmiştir.",Diğer,Tüm Birimler,Tamamlandı,1/27/26,1/31/26,,Kritik
Liv Ankara,2026-02,2/25/26,ISG eğitimlerinde Şubat 2026 1. Genel ISG:30 çalışan 2. Sağlık Konuları:35 çalışan 3. Teknik Konular:30 çalışan 4. Yangın Güvenliği:30 çalışan 5. HAP: 30 çalışan 6. ISG İşe Başlama Eğitimi: 24 çalışan 7. ISG Oryantasyon:24 çalışan eğitim almıştır.,Diğer,Tüm Birimler,Tamamlandı,2/25/26,2/25/26,,Kritik
Liv Ankara,2026-02,2/25/26,Hepatit aşıları Bakanlık tarafından gönderilmiştir. Aşılama yapılması gereken çalışanların dozları vurulmaya devam etmektedir.,Diğer,Tüm Birimler,Tamamlandı,2/25/26,2/25/26,,Orta
Liv Ankara,2026-02,2/25/26,Teknik Hizmetler tarafından Şubat ayında yapılan bakımlar: 1. Asansörler 2. Trafo 3.Jeneratör 4. UPS 5. Kompresör 6. Su arıtma sistemi 7. Kapalı Devre Su Sistemi,Altyapı,Tüm Birimler,Tamamlandı,2/25/26,2/25/26,,Riskli
Liv Ankara,2026-02,2/25/26,Radyoloji ekibi periyodik sağlık taramaları yaptırılmıştır. Dr Aydın Aslan periyodik muayenesini yaptırmamıştır.,Diğer,Tüm Birimler,Tamamlandı,2/25/26,2/25/26,,Yüksek Riskli
Liv Ankara,2026-02,2/25/26,Hastanede katlarda bulunan WC lerin cam kapılarında çatlaklar mevcuttu. Tamamı değiştirilmiştir.,Altyapı,Tüm Birimler,Tamamlandı,2/25/26,2/25/26,,Düşük
Liv Ankara,2026-02,2/25/26,Yemekhane inşaatında bulaşıkhane tarafına geçilmiştir. Otopark alanında geçici bulaşıkhane oluşturulmuştur. Alanda elektrik ve tesisat konusunda önlemler alınmıştır.,Altyapı,Tüm Birimler,Tamamlandı,3/20/26,3/15/26,,Yüksek Riskli
Liv Ankara,2026-02,2/25/26,Refakatçı koltuklarından kırık olanlar yeni gelen refakatçı koltukları ile değiştirilmiştir. Tamiri yapılabilecek koltuklar tamire gönderilmiştir. Mekanizmaları dolayısıyla iş kazalarına sebebiyet vermekteydi. Yeni koltuklarla iyileştirme gerçekleştirilmiştir.,Cihaz-Ekipman-Malzeme Yönetimi,Tüm Birimler,Tamamlandı,2/25/26,2/25/26,,Kritik
Liv Ankara,2026-02,2/25/26,Legionella testi için numune örneği Çankaya Belediyesi tarafından alınmıştır. 611 nolu odada pozitiflik tespit edilmiştir. Duş başlıklarının kireçten arındırma işlemi tekrarlanacaktır.,Altyapı,Tüm Birimler,Tamamlandı,3/20/26,6/20/26,,Düşük
